Subject,Predicate,Object
scatsat-1,provides_service,"insat-3a | meteorological & oceanographic satellite data archival centre skip to main content -a a +a aa हिन्दीenglish secondary menusignup login logout meteorological & oceanographic satellite data archival centre space applications centre, isro homemissionsinsat-3drinsat-3dkalpana-1insat-3ameghatropiquessaral-altikaoceansat-2oceansat-3insat-3dsscatsat-1catalogsatelliteinsitu (aws)radargalleriessatellite productsweather forecastocean forecastradar (dwr)global ocean currentdata accessorder datao"
meghatropiques,provides_service,"insat-3a | meteorological & oceanographic satellite data archival centre skip to main content -a a +a aa हिन्दीenglish secondary menusignup login logout meteorological & oceanographic satellite data archival centre space applications centre, isro homemissionsinsat-3drinsat-3dkalpana-1insat-3ameghatropiquessaral-altikaoceansat-2oceansat-3insat-3dsscatsat-1catalogsatelliteinsitu (aws)radargalleriessatellite productsweather forecastocean forecastradar (dwr)global ocean currentdata accessorder datao"
insat-3d,provides_service,"insat-3ds | meteorological & oceanographic satellite data archival centre skip to main content -a a +a aa हिन्दीenglish secondary menusignup login logout meteorological & oceanographic satellite data archival centre space applications centre, isro homemissionsinsat-3drinsat-3dkalpana-1insat-3ameghatropiquessaral-altikaoceansat-2oceansat-3insat-3dsscatsat-1catalogsatelliteinsitu (aws)radargalleriessatellite productsweather forecastocean forecastradar (dwr)global ocean currentdata accessorder data"
insat-3dr,provides_service,"insat-3ds | meteorological & oceanographic satellite data archival centre skip to main content -a a +a aa हिन्दीenglish secondary menusignup login logout meteorological & oceanographic satellite data archival centre space applications centre, isro homemissionsinsat-3drinsat-3dkalpana-1insat-3ameghatropiquessaral-altikaoceansat-2oceansat-3insat-3dsscatsat-1catalogsatelliteinsitu (aws)radargalleriessatellite productsweather forecastocean forecastradar (dwr)global ocean currentdata accessorder data"
scatsat-1,provides_service,"insat-3ds | meteorological & oceanographic satellite data archival centre skip to main content -a a +a aa हिन्दीenglish secondary menusignup login logout meteorological & oceanographic satellite data archival centre space applications centre, isro homemissionsinsat-3drinsat-3dkalpana-1insat-3ameghatropiquessaral-altikaoceansat-2oceansat-3insat-3dsscatsat-1catalogsatelliteinsitu (aws)radargalleriessatellite productsweather forecastocean forecastradar (dwr)global ocean currentdata accessorder data"
meghatropiques,provides_service,"insat-3ds | meteorological & oceanographic satellite data archival centre skip to main content -a a +a aa हिन्दीenglish secondary menusignup login logout meteorological & oceanographic satellite data archival centre space applications centre, isro homemissionsinsat-3drinsat-3dkalpana-1insat-3ameghatropiquessaral-altikaoceansat-2oceansat-3insat-3dsscatsat-1catalogsatelliteinsitu (aws)radargalleriessatellite productsweather forecastocean forecastradar (dwr)global ocean currentdata accessorder data"
insat-3d,provides_service,"scatsat-1 | meteorological & oceanographic satellite data archival centre skip to main content -a a +a aa हिन्दीenglish secondary menusignup login logout meteorological & oceanographic satellite data archival centre space applications centre, isro homemissionsinsat-3drinsat-3dkalpana-1insat-3ameghatropiquessaral-altikaoceansat-2oceansat-3insat-3dsscatsat-1catalogsatelliteinsitu (aws)radargalleriessatellite productsweather forecastocean forecastradar (dwr)global ocean currentdata accessorder data"
insat-3dr,provides_service,"scatsat-1 | meteorological & oceanographic satellite data archival centre skip to main content -a a +a aa हिन्दीenglish secondary menusignup login logout meteorological & oceanographic satellite data archival centre space applications centre, isro homemissionsinsat-3drinsat-3dkalpana-1insat-3ameghatropiquessaral-altikaoceansat-2oceansat-3insat-3dsscatsat-1catalogsatelliteinsitu (aws)radargalleriessatellite productsweather forecastocean forecastradar (dwr)global ocean currentdata accessorder data"
scatsat-1,provides_service,"scatsat-1 | meteorological & oceanographic satellite data archival centre skip to main content -a a +a aa हिन्दीenglish secondary menusignup login logout meteorological & oceanographic satellite data archival centre space applications centre, isro homemissionsinsat-3drinsat-3dkalpana-1insat-3ameghatropiquessaral-altikaoceansat-2oceansat-3insat-3dsscatsat-1catalogsatelliteinsitu (aws)radargalleriessatellite productsweather forecastocean forecastradar (dwr)global ocean currentdata accessorder data"
meghatropiques,provides_service,"scatsat-1 | meteorological & oceanographic satellite data archival centre skip to main content -a a +a aa हिन्दीenglish secondary menusignup login logout meteorological & oceanographic satellite data archival centre space applications centre, isro homemissionsinsat-3drinsat-3dkalpana-1insat-3ameghatropiquessaral-altikaoceansat-2oceansat-3insat-3dsscatsat-1catalogsatelliteinsitu (aws)radargalleriessatellite productsweather forecastocean forecastradar (dwr)global ocean currentdata accessorder data"
